Transaction Number,Business Date,PLU/Barcode,Item,Quantity,Amount incl GST,Tax Amount,Tax Name,Tax Rate,Sales Type,Shift,Employee,Tender,Transaction Time,
"248929,""01/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""79002"",""Employee, 7"",""Cash PLN,Cash PLN"",""01/06/2022 05:04:11 PM"","
"248971,""01/06/2022"",""2000050110108"",""PRODUCT 5"",""1"",""29.99"",""5.61"",""VAT 23%"",""23.00%"",""Regular Sales"",""79002"",""Employee, 7"",""Cash PLN,Cash PLN"",""01/06/2022 07:00:23 PM"","
"248987,""01/06/2022"",""2000050110641"",""PRODUCT 3"",""1"",""67.98"",""12.71"",""VAT 23%"",""23.00%"",""Regular Sales"",""79002"",""Employee, 7"",""Card"",""01/06/2022 08:11:28 PM"","
"249002,""01/06/2022"",""0000001429599"",""BAQUETTE SHRIMP"",""1"",""5.57"",""0.41"",""VAT 8%"",""8.00%"",""Regular Sales"",""79002"",""Employee, 7"",""Card"",""01/06/2022 08:55:42 PM"","
"249002,""01/06/2022"",""0000001338111"",""GRILLED SANDWICH VEGE"",""1"",""3.92"",""0.29"",""VAT 8%"",""8.00%"",""Regular Sales"",""79002"",""Employee, 7"",""Card"",""01/06/2022 08:55:42 PM"","
"249009,""01/06/2022"",""0000001352916"",""MOCCA"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""79002"",""Employee, 7"",""Card"",""01/06/2022 09:19:36 PM"","
"249038,""01/06/2022"",""2000050110108"",""PRODUCT 5"",""1"",""29.99"",""5.61"",""VAT 23%"",""23.00%"",""Regular Sales"",""79102"",""Employee, 4"",""Card"",""01/06/2022 11:13:37 PM"","
"111,""02/06/2022"",""0000001004097"",""LATTE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Cash PLN,Cash PLN"",""02/06/2022 07:00:09 PM"","
"111,""02/06/2022"",""0000001004097"",""LATTE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Cash PLN,Cash PLN"",""02/06/2022 07:00:09 PM"","
"12,""02/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 06:45:04 PM"","
"147,""02/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 08:43:53 PM"","
"148,""02/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Cash PLN,Cash PLN"",""02/06/2022 08:48:23 PM"","
"153,""02/06/2022"",""0000001357048"",""BURGER VEGE"",""1"",""5.74"",""0.43"",""VAT 8%"",""8.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 09:07:29 PM"","
"153,""02/06/2022"",""0000001367965"",""BURGER RUMP STEAK"",""1"",""5.74"",""0.43"",""VAT 8%"",""8.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 09:07:29 PM"","
"172,""02/06/2022"",""0000001338111"",""GRILLED SANDWICH VEGE"",""1"",""11.90"",""0.88"",""VAT 8%"",""8.00%"",""Regular Sales"",""73601"",""Employee, 3"",""Cash PLN"",""02/06/2022 10:11:36 PM"","
"178,""02/06/2022"",""2000050110641"",""PRODUCT 3"",""1"",""67.98"",""12.71"",""VAT 23%"",""23.00%"",""Regular Sales"",""73601"",""Employee, 3"",""Card"",""02/06/2022 10:23:13 PM"","
"180,""02/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""73601"",""Employee, 3"",""Card"",""02/06/2022 10:57:01 PM"","
"181,""02/06/2022"",""2000050120107"",""PRODUCT 6"",""-1"",""-26.99"",""-5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""73601"",""Employee, 3"",""Cash PLN"",""02/06/2022 11:03:29 PM"","
"182,""02/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""73601"",""Employee, 3"",""Cash PLN"",""02/06/2022 11:05:01 PM"","
"199607,""02/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Cash PLN"",""02/06/2022 06:50:19 AM"","
"199607,""02/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Cash PLN"",""02/06/2022 06:50:19 AM"","
"199624,""02/06/2022"",""0000001004097"",""LATTE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 07:23:14 AM"","
"199636,""02/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Cash PLN,Cash PLN"",""02/06/2022 07:43:11 AM"","
"199636,""02/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Cash PLN,Cash PLN"",""02/06/2022 07:43:11 AM"","
"199656,""02/06/2022"",""0000001004097"",""LATTE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 08:31:39 AM"","
"199668,""02/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 08:48:47 AM"","
"199668,""02/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 08:48:47 AM"","
"199690,""02/06/2022"",""0000001004097"",""LATTE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 09:32:43 AM"","
"199702,""02/06/2022"",""2000033114161"",""GRILLED SANDWICH TUNA"",""1"",""11.90"",""0.88"",""VAT 8%"",""8.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Cash PLN,Cash PLN"",""02/06/2022 10:16:00 AM"","
"199703,""02/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 10:18:12 AM"","
"199703,""02/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 10:18:12 AM"","
"199706,""02/06/2022"",""2000033113959"",""BAQUETTE AMERICAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 10:22:14 AM"","
"199706,""02/06/2022"",""0000001004097"",""LATTE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 10:22:14 AM"","
"199717,""02/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Fleet card"",""02/06/2022 10:39:10 AM"","
"199718,""02/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 10:41:02 AM"","
"199742,""02/06/2022"",""2000033113980"",""BAQUETTE COUNTRY"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""73401"",""Employee, 2"",""Card"",""02/06/2022 11:16:56 AM"","
"199795,""02/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 01:31:33 PM"","
"199798,""02/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 01:49:13 PM"","
"199820,""02/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 02:19:24 PM"","
"199824,""02/06/2022"",""0000001429599"",""BAQUETTE SHRIMP"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 02:23:38 PM"","
"199830,""02/06/2022"",""2000050110832"",""PRODUCT 1"",""1"",""119.96"",""22.43"",""VAT 23%"",""23.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 02:31:43 PM"","
"199864,""02/06/2022"",""0000001352916"",""MOCCA"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 03:15:42 PM"","
"199889,""02/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 03:49:53 PM"","
"199923,""02/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 04:51:30 PM"","
"199936,""02/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 05:07:25 PM"","
"199956,""02/06/2022"",""0000001338111"",""GRILLED SANDWICH VEGE"",""1"",""11.90"",""0.88"",""VAT 8%"",""8.00%"",""Regular Sales"",""73501"",""Employee, 7"",""Card"",""02/06/2022 05:34:39 PM"","
"249067,""02/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""79202"",""Employee, 4"",""Card"",""02/06/2022 03:36:34 AM"","
"249075,""02/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""79202"",""Employee, 4"",""Card"",""02/06/2022 05:26:51 AM"","
"249085,""02/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""8.00"",""0.59"",""VAT 8%"",""8.00%"",""Regular Sales"",""79202"",""Employee, 4"",""Card"",""02/06/2022 05:52:36 AM"","
"249110,""02/06/2022"",""2000033114154"",""GRILLED SANDWICH CHICKEN"",""1"",""3.88"",""0.29"",""VAT 8%"",""8.00%"",""Regular Sales"",""79302"",""Employee, 10"",""Card"",""02/06/2022 07:35:01 AM"","
"249145,""02/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""79302"",""Employee, 10"",""Cash PLN,Cash PLN"",""02/06/2022 09:07:42 AM"","
"249145,""02/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""79302"",""Employee, 10"",""Cash PLN,Cash PLN"",""02/06/2022 09:07:42 AM"","
"249155,""02/06/2022"",""2000013625380"",""PRODUCT 2"",""1"",""159.96"",""29.91"",""VAT 23%"",""23.00%"",""Regular Sales"",""79302"",""Employee, 10"",""Fleet card"",""02/06/2022 09:42:37 AM"","
"249158,""02/06/2022"",""2000013625380"",""PRODUCT 2"",""1"",""107.96"",""20.19"",""VAT 23%"",""23.00%"",""Regular Sales"",""79302"",""Employee, 10"",""Fleet card"",""02/06/2022 09:45:06 AM"","
"249185,""02/06/2022"",""0000001004097"",""LATTE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""79302"",""Employee, 10"",""Cash PLN,Cash PLN"",""02/06/2022 11:08:10 AM"","
"249188,""02/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""79302"",""Employee, 10"",""Card"",""02/06/2022 11:39:07 AM"","
"249198,""02/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""79302"",""Employee, 10"",""Card"",""02/06/2022 12:10:30 PM"","
"249199,""02/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""79302"",""Employee, 10"",""Card"",""02/06/2022 12:16:14 PM"","
"249201,""02/06/2022"",""0000001004097"",""LATTE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""79302"",""Employee, 10"",""Cash PLN"",""02/06/2022 12:26:20 PM"","
